datetime,CHW,MTHW,CHW_on,MTHW_on,simul
2023-04-30 11:00:00,1932.61,729.42,True,True,True
2023-04-30 23:00:00,1002.81,751.59,True,True,True
2023-05-01 00:00:00,802.16,715.41,True,True,True
2023-05-01 01:00:00,865.14,739.92,True,True,True
2023-05-01 09:00:00,716.17,729.06,True,True,True
2023-05-01 10:00:00,847.44,706.46,True,True,True
2023-05-01 21:00:00,863.7,714.31,True,True,True
2023-05-01 22:00:00,763.29,794.4,True,True,True
2023-05-01 23:00:00,717.4,736.95,True,True,True
2023-05-02 02:00:00,718.62,911.26,True,True,True
2023-05-02 03:00:00,752.38,966.81,True,True,True
2023-05-02 04:00:00,744.48,939.59,True,True,True
2023-05-02 05:00:00,718.75,707.62,True,True,True
2023-05-02 08:00:00,773.79,701.1,True,True,True
2023-05-02 10:00:00,953.7,712.26,True,True,True
2023-05-02 11:00:00,972.72,712.64,True,True,True
2023-05-02 22:00:00,966.04,779.53,True,True,True
2023-05-02 23:00:00,956.84,711.39,True,True,True
2023-05-03 02:00:00,845.64,983.48,True,True,True
2023-05-03 03:00:00,708.17,739.94,True,True,True
2023-05-03 08:00:00,1084.08,706.46,True,True,True
2023-05-03 21:00:00,738.07,721.66,True,True,True
2023-05-03 22:00:00,743.86,708.11,True,True,True
2023-05-04 03:00:00,716.61,880.36,True,True,True
2023-05-04 04:00:00,778.39,867.25,True,True,True
2023-05-04 22:00:00,919.79,700.47,True,True,True
2023-05-05 00:00:00,833.95,710.59,True,True,True
2023-05-05 09:00:00,821.77,750.49,True,True,True
2023-05-05 22:00:00,1131.27,728.26,True,True,True
2023-05-06 06:00:00,743.95,895.21,True,True,True
2023-05-06 08:00:00,812.28,763.37,True,True,True
2023-05-07 05:00:00,881.33,700.27,True,True,True
2023-05-07 06:00:00,984.28,866.99,True,True,True
2023-05-07 07:00:00,895.35,997.91,True,True,True
2023-05-07 08:00:00,1058.54,846.72,True,True,True
2023-05-08 03:00:00,1979.11,880.31,True,True,True
2023-05-08 04:00:00,1947.49,821.77,True,True,True
2023-05-08 05:00:00,1867.03,740.48,True,True,True
2023-05-08 06:00:00,1872.58,747.03,True,True,True
2023-05-08 07:00:00,1628.57,741.93,True,True,True
2023-05-08 08:00:00,1682.39,838.92,True,True,True
2023-05-09 03:00:00,2073.57,724.54,True,True,True
2023-05-10 02:00:00,771.89,834.05,True,True,True
2023-05-10 03:00:00,739.39,845.07,True,True,True
2023-05-10 04:00:00,907.93,765.82,True,True,True
2023-05-10 07:00:00,774.62,830.1,True,True,True
2023-05-10 08:00:00,808.27,758.18,True,True,True
2023-05-10 09:00:00,921.01,701.14,True,True,True
2023-05-10 10:00:00,1101.57,709.36,True,True,True
2023-05-10 11:00:00,1258.99,706.83,True,True,True
2023-05-11 03:00:00,996.75,904.71,True,True,True
2023-05-11 04:00:00,933.92,798.53,True,True,True
2023-05-13 09:00:00,1817.18,762.24,True,True,True
2023-05-14 06:00:00,2284.56,793.27,True,True,True
2023-05-14 07:00:00,1547.04,936.44,True,True,True
2023-05-14 08:00:00,1571.75,870.6,True,True,True
2023-05-14 09:00:00,1503.76,801.73,True,True,True
2023-05-15 03:00:00,1334.23,873.77,True,True,True
2023-05-15 04:00:00,1120.62,757.48,True,True,True
2023-05-15 05:00:00,1066.31,719.16,True,True,True
2023-05-15 06:00:00,956.13,724.62,True,True,True
2023-05-15 07:00:00,925.19,717.84,True,True,True
2023-05-15 08:00:00,940.97,717.74,True,True,True
2023-05-15 09:00:00,873.97,738.27,True,True,True
2023-05-15 10:00:00,923.38,721.68,True,True,True
2023-05-15 11:00:00,1148.75,719.21,True,True,True
2023-05-15 22:00:00,1117.22,733.35,True,True,True
2023-05-15 23:00:00,1216.49,738.84,True,True,True
2023-05-16 01:00:00,1430.89,706.08,True,True,True
2023-05-16 02:00:00,1552.89,702.15,True,True,True
2023-05-16 03:00:00,1562.74,911.71,True,True,True
2023-05-16 04:00:00,1533.98,769.48,True,True,True
2023-05-16 05:00:00,1535.05,780.21,True,True,True
2023-05-16 06:00:00,1475.11,771.14,True,True,True
2023-05-16 07:00:00,1569.65,783.48,True,True,True
2023-05-16 08:00:00,1556.26,783.29,True,True,True
2023-05-16 09:00:00,1715.64,760.61,True,True,True
2023-05-16 10:00:00,1720.6,726.06,True,True,True
2023-05-17 05:00:00,1583.52,769.44,True,True,True
2023-05-17 06:00:00,1440.41,768.25,True,True,True
2023-05-17 07:00:00,1317.01,832.55,True,True,True
2023-05-17 08:00:00,1339.83,800.19,True,True,True
2023-05-17 09:00:00,1518.41,785.76,True,True,True
2023-05-17 10:00:00,1550.67,731.97,True,True,True
2023-05-17 22:00:00,1580.42,739.09,True,True,True
2023-05-18 03:00:00,830.72,940.59,True,True,True
2023-05-18 04:00:00,783.59,802.55,True,True,True
2023-05-18 09:00:00,703.84,723.19,True,True,True
2023-05-18 22:00:00,1182.39,702.69,True,True,True
2023-05-19 02:00:00,736.99,703.81,True,True,True
2023-05-19 03:00:00,773.42,972.93,True,True,True
2023-05-19 04:00:00,777.96,884.61,True,True,True
2023-05-19 05:00:00,762.3,706.43,True,True,True
2023-05-20 03:00:00,1452.2,702.16,True,True,True
2023-05-20 05:00:00,1353.87,829.11,True,True,True
2023-05-20 06:00:00,1445.18,1005.2,True,True,True
2023-05-20 07:00:00,1422.86,852.09,True,True,True
2023-05-20 08:00:00,1718.11,720.81,True,True,True
2023-05-20 09:00:00,1770.12,770.1,True,True,True
2023-05-20 10:00:00,1817.0,718.04,True,True,True
2023-05-20 11:00:00,1811.68,707.3,True,True,True
2023-05-21 05:00:00,1191.36,826.56,True,True,True
2023-05-21 06:00:00,1236.71,1002.45,True,True,True
2023-05-21 07:00:00,1114.17,904.57,True,True,True
2023-05-21 08:00:00,1507.86,744.51,True,True,True
2023-05-22 03:00:00,1079.59,898.27,True,True,True
2023-05-22 04:00:00,1153.82,814.19,True,True,True
2023-05-22 05:00:00,1125.2,769.49,True,True,True
2023-05-22 06:00:00,883.63,783.61,True,True,True
2023-05-22 07:00:00,903.53,741.21,True,True,True
2023-05-22 08:00:00,1440.95,776.75,True,True,True
2023-05-22 09:00:00,1512.39,759.72,True,True,True
2023-05-23 03:00:00,1436.88,849.63,True,True,True
2023-05-23 04:00:00,1330.41,822.18,True,True,True
2023-05-23 05:00:00,1138.03,759.82,True,True,True
2023-05-23 06:00:00,913.99,748.52,True,True,True
2023-05-23 07:00:00,966.99,767.2,True,True,True
2023-05-23 08:00:00,1570.54,743.12,True,True,True
2023-05-23 09:00:00,1572.32,734.91,True,True,True
2023-05-23 10:00:00,1574.2,701.47,True,True,True
2023-05-24 02:00:00,1095.1,785.81,True,True,True
2023-05-24 03:00:00,951.47,805.04,True,True,True
2023-05-24 05:00:00,1117.8,704.61,True,True,True
2023-05-24 06:00:00,873.14,790.57,True,True,True
2023-05-24 07:00:00,873.94,761.23,True,True,True
